Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
"Paris, je t'aime","Bruno Podalydes, Wes Craven, Daniela Thomas, Joel Coen, Frederic Auburtin, Oliver Schmitz, Nobuhiro Suwa, Richard LaGravenese, Isabel Coixet, Walter Salles, Gerard Depardieu, Gurinder Chadha, Vincenzo Natali, Tom Tykwer, Ethan Coen, Emmanuel Benbihy, Olivier Assayas, Alexander Payne, Alfonso Cuaron, Gus Van Sant, Christopher Doyle, Sylvain Chomet",Movie,3,3.7,4/18/2012,4/18/2012,French,Romance,Watched,
Elektra,Rob Bowman,Movie,3,2.4,4/18/2012,4/18/2012,English,Fantasy,Watched,
Modern Family,"Christopher Lloyd, Steven Levitan",Series,4,4.2,4/18/2012,4/18/2012,English,Comedy,Watched,
Gran Torino,Clint Eastwood,Movie,4,4.1,4/18/2012,4/18/2012,English,Drama,Watched,
"Good Night, and Good Luck.",George Clooney,Movie,4,3.8,4/18/2012,4/18/2012,English,Biography,Watched,
Tootsie,Sydney Pollack,Movie,4,3.7,4/18/2012,4/18/2012,English,Comedy,Watched,
Revolutionary Road,Sam Mendes,Movie,4,3.7,4/18/2012,4/18/2012,English,Drama,Watched,
Dum Maaro Dum,Rohan Sippy,Movie,4,3.1,4/18/2012,4/18/2012,Hindi,Thriller,Watched,
The Shawshank Redemption,Frank Darabont,Movie,5,4.7,4/18/2012,4/18/2012,English,Drama,Watched,
Nuovo Cinema Paradiso,Giuseppe Tornatore,Movie,5,4.3,4/18/2012,4/18/2012,Italian,Drama,Watched,
Gandhi,Richard Attenborough,Movie,5,4.1,4/18/2012,4/18/2012,English,Biography,Watched,
State of Grace,"Michael Lee Baron, Phil Joanou",Movie,3,3.7,4/13/2012,4/13/2012,English,Crime,Watched,
The Game,David Fincher,Movie,1,3.9,4/3/2012,4/3/2012,English,Thriller,Watched,
GoldenEye,Martin Campbell,Movie,2,3.6,4/3/2012,4/3/2012,English,Thriller,Watched,
Vertigo,Alfred Hitchcock,Movie,3,4.2,4/3/2012,4/3/2012,English,Thriller,Watched,
Babel,Alejandro Innaritu,Movie,3,3.8,4/3/2012,4/3/2012,English,Drama,Watched,
Doubt,John Patrick Shanley,Movie,3,3.8,4/3/2012,4/3/2012,English,Drama,Watched,
Crazy Heart,Scott Cooper,Movie,3,3.7,4/3/2012,4/3/2012,English,Music,Watched,
